Program,Retained Report ID,Candidate Report ID,Candidate Report Number,Subawardee UEI,Subawardee Vendor Name,Prime PIID,Subaward Date,Subaward Amount $M
ddg,20701141,20701140,a0abc438-fcb9-11ef-8e2a-e7034f2d18cd,C6C8KS7Y1K76,MIDE TECHNOLOGY CORPORATION,N0002413C2307,2017-07-10,0.029951
ddg,20701155,20701154,a0abe918-fcb9-11ef-8e2a-e7034f2d18cd,C6C8KS7Y1K76,MIDE TECHNOLOGY CORPORATION,N0002413C2307,2017-07-14,0.276184
ddg,20701718,20701717,a0b2555a-fcb9-11ef-8e2a-e7034f2d18cd,CFXRGJSB9UB6,"SPD ELECTRICAL SYSTEMS, INC",N0002413C2307,2018-11-29,0.190428
ddg,20700681,20700680,9e71bb14-fcb9-11ef-8e2a-e7034f2d18cd,DWUHNL9BC3U7,"HOWELL LABORATORIES, INC.",N0002413C2307,2017-07-29,1.000998
ddg,20699962,20699961,9e6991e6-fcb9-11ef-8e2a-e7034f2d18cd,EZVMH8VEGL34,"BAUER COMPRESSORS, INC.",N0002413C2307,2017-07-26,0.146754
ddg,20700735,20700734,9e724bf6-fcb9-11ef-8e2a-e7034f2d18cd,FLMQAKFEMG64,INDEECO LLC,N0002413C2307,2017-07-20,0.395669
ddg,20700723,20700722,9e722cfc-fcb9-11ef-8e2a-e7034f2d18cd,FLMQAKFEMG64,INDEECO LLC,N0002413C2307,2017-07-20,0.171084
ddg,20700726,20700725,9e7234b8-fcb9-11ef-8e2a-e7034f2d18cd,FLMQAKFEMG64,INDEECO LLC,N0002413C2307,2017-07-27,0.192813
ddg,20700717,20700716,9e721df2-fcb9-11ef-8e2a-e7034f2d18cd,FLMQAKFEMG64,INDEECO LLC,N0002413C2307,2017-07-27,0.100913
ddg,20699837,20699836,9e683d5a-fcb9-11ef-8e2a-e7034f2d18cd,G78MQ69BN636,AIRCRAFT APPLIANCES AND EQUIPMENT LIMITED,N0002413C2307,2017-07-14,0.199174
ddg,20699833,20699832,9e6832c4-fcb9-11ef-8e2a-e7034f2d18cd,G78MQ69BN636,AIRCRAFT APPLIANCES AND EQUIPMENT LIMITED,N0002413C2307,2017-07-14,0.153088
ddg,20701566,20701565,a0b0c85c-fcb9-11ef-8e2a-e7034f2d18cd,HLVBPCA2LH41,ROLLS-ROYCE MARINE NORTH AMERICA INC.,N0002413C2307,2018-11-19,0.033662
ddg,20702080,20702079,a24c8f5c-fcb9-11ef-8e2a-e7034f2d18cd,J3AFGKXWYK73,YORK INTERNATIONAL CORPORATION,N0002413C2307,2013-06-03,8.324665
ddg,20702082,20702081,a24c9524-fcb9-11ef-8e2a-e7034f2d18cd,J3AFGKXWYK73,YORK INTERNATIONAL CORPORATION,N0002413C2307,2014-03-18,8.623978
ddg,20702084,20702083,a24c9ab0-fcb9-11ef-8e2a-e7034f2d18cd,J3AFGKXWYK73,YORK INTERNATIONAL CORPORATION,N0002413C2307,2014-12-18,8.756111
ddg,20702060,20702059,a24c56e0-fcb9-11ef-8e2a-e7034f2d18cd,J3AFGKXWYK73,YORK INTERNATIONAL CORPORATION,N0002413C2307,2017-08-02,0.039227
ddg,20702066,20702065,a24c673e-fcb9-11ef-8e2a-e7034f2d18cd,J3AFGKXWYK73,YORK INTERNATIONAL CORPORATION,N0002413C2307,2017-08-29,0.046550
ddg,20700053,20700052,9e6aad10-fcb9-11ef-8e2a-e7034f2d18cd,J8ATNVMEGLK1,"CHAND, L.L.C.",N0002413C2307,2018-11-09,0.033690
ddg,20701987,20701986,a24b5a10-fcb9-11ef-8e2a-e7034f2d18cd,JA2KCX21NL48,"WARTSILA DEFENSE, INC.",N0002413C2307,2017-07-07,0.041190
ddg,20701999,20701998,a24ba434-fcb9-11ef-8e2a-e7034f2d18cd,JA2KCX21NL48,"WARTSILA DEFENSE, INC.",N0002413C2307,2017-07-14,0.295115
ddg,20701993,20701992,a24b93cc-fcb9-11ef-8e2a-e7034f2d18cd,JA2KCX21NL48,"WARTSILA DEFENSE, INC.",N0002413C2307,2017-07-14,0.274507
ddg,20701447,20701446,a0af6372-fcb9-11ef-8e2a-e7034f2d18cd,JEP5GQGFPUL9,PORTLAND VALVE LLC,N0002413C2307,2018-11-09,0.025604
ddg,20701394,20701393,a0aed984-fcb9-11ef-8e2a-e7034f2d18cd,JGNYLKEPEBL4,"PEMCO-NAVAL ENGINEERING WORKS, INC.",N0002413C2307,2017-07-24,0.032232
ddg,20700445,20700444,9e6f25b6-fcb9-11ef-8e2a-e7034f2d18cd,JRUCKDSNXKD5,"ENTWISTLE COMPANY, THE",N0002413C2307,2017-07-21,0.163274
ddg,20701915,20701914,a24a931e-fcb9-11ef-8e2a-e7034f2d18cd,KCYPSYNH1M94,US JOINER LLC,N0002413C2307,2018-11-20,0.160481
ddg,20700899,20700898,a0a90cd4-fcb9-11ef-8e2a-e7034f2d18cd,KKRXVDJZQ5V5,KEYSTONE FIRE PROTECTION CO.,N0002413C2307,2017-07-07,0.063000
ddg,20700896,20700895,a0a904aa-fcb9-11ef-8e2a-e7034f2d18cd,KKRXVDJZQ5V5,KEYSTONE FIRE PROTECTION CO.,N0002413C2307,2017-07-28,0.036450
ddg,20701948,20701947,a24aeeae-fcb9-11ef-8e2a-e7034f2d18cd,LFVJABJDQVZ9,"W. & O. SUPPLY, INC.",N0002413C2307,2017-07-28,0.052845
ddg,20700068,20700067,9e6af464-fcb9-11ef-8e2a-e7034f2d18cd,M8ZHL8ZXGQP5,"CHROMALOX, INC.",N0002413C2307,2017-07-31,0.096881
ddg,20701161,20701160,a0abf91c-fcb9-11ef-8e2a-e7034f2d18cd,MC77SUMRLXY5,"MILWAUKEE VALVE COMPANY, INC.",N0002413C2307,2018-11-19,0.031309
ddg,20700515,20700514,9e70059e-fcb9-11ef-8e2a-e7034f2d18cd,N6P1AGPMV456,EVAC NORTH AMERICA INC.,N0002413C2307,2018-11-11,0.042540
ddg,20701440,20701439,a0af5152-fcb9-11ef-8e2a-e7034f2d18cd,NQKEVF8KEMP1,PIVOTAL POWER INC,N0002413C2307,2018-11-26,0.191084
ddg,20701532,20701531,a0b06ee8-fcb9-11ef-8e2a-e7034f2d18cd,PDZUR2FMYD89,"RANGER ENVIRONMENTAL SERVICES, LLC",N0002413C2307,2018-11-01,0.052734
ddg,20699936,20699935,9e694b1e-fcb9-11ef-8e2a-e7034f2d18cd,PJRYS7EFXQD9,"B.N.L. INDUSTRIES, INC.",N0002413C2307,2017-07-25,0.066111
ddg,20701824,20701823,a2499130-fcb9-11ef-8e2a-e7034f2d18cd,QMXJLLJZ5QY4,TORK SYSTEMS INC,N0002413C2307,2024-06-06,0.052157
ddg,20700906,20700905,a0a91f8a-fcb9-11ef-8e2a-e7034f2d18cd,RMLGMBGNPCC8,"KINGSBURY, INC.",N0002413C2307,2018-11-01,0.049526
ddg,20702050,20702049,a24c3a8e-fcb9-11ef-8e2a-e7034f2d18cd,VDGQNU1VJC64,XCHANGER MANUFACTURING CORPORATION,N0002413C2307,2017-07-25,0.223679
ddg,20700696,20700695,9e71e59e-fcb9-11ef-8e2a-e7034f2d18cd,WMXDDH6HJNA5,HUNTINGTON INGALLS INCORPORATED,N0002413C2307,2017-07-12,0.845658
ddg,20699975,20699974,9e69b356-fcb9-11ef-8e2a-e7034f2d18cd,WWMME88ERQG5,"BESTWELD, INC.",N0002413C2307,2017-07-28,0.058611
virginia,20949021,20949020,70a492fa-fcba-11ef-8e2a-e7034f2d18cd,C1CCV2BRQJ26,MARINE EQUIPMENT AND ENGINEERING SOLUTIONS LLC,N0002417C2100,2018-12-14,0.027560
virginia,20750619,20750618,bc9ac036-fcb9-11ef-8e2a-e7034f2d18cd,C3B4GMUXK277,"BOWMAR, LLC",N0002416C2111,2016-12-12,-1.158440
virginia,20692504,20692503,8c238762-fcb9-11ef-8e2a-e7034f2d18cd,C9C6HPQLL4A8,CATERPILLAR INC.,N0002412C2115,2017-01-06,0.015315
virginia,20750596,20750595,bc9a824c-fcb9-11ef-8e2a-e7034f2d18cd,CABCB9XBJHK5,"APOLLO PROFESSIONAL SOLUTIONS, INC.",N0002416C2111,2017-10-16,0.133000
virginia,20750593,20750592,bc9a7a54-fcb9-11ef-8e2a-e7034f2d18cd,CABCB9XBJHK5,"APOLLO PROFESSIONAL SOLUTIONS, INC.",N0002416C2111,2018-11-09,0.074820
virginia,20692705,20692704,8c259598-fcb9-11ef-8e2a-e7034f2d18cd,CBB5ZBL4F2G3,ENVIRONMENTAL CONTAINMENT SYSTEMS LLC,N0002412C2115,2017-03-31,-0.001036
virginia,20750877,20750876,bd505c34-fcb9-11ef-8e2a-e7034f2d18cd,CBMZJ3Z5SC89,GOODRICH CORPORATION,N0002416C2111,2018-07-05,-0.000704
