# Authoritative per-hull construction-funding windows from USAspending prime-mod history (2026-06-30). STAGED research aid - NOT wired into the build.
# Focused = prime mods naming <=2 family hulls with |obligation|>=$1000. Compare 1st-focused-funding to hull_master Start Fabrication (est.).
Prime PIID,Hull,First Focused Funding,Last Focused Funding,n Focused Mods,Focused $M,HM Start Fabrication,HM Delivery
N0002413C2307,117,2015-10-16,2020-05-27,58,6.6,Oct 2015,Feb 2019
N0002413C2307,119,2016-07-26,2024-10-15,63,12.9,Jun 2016,Apr 2020
N0002413C2307,121,2015-11-13,2024-04-18,53,52.7,Apr 2016,Nov 2021
N0002413C2307,123,2016-08-30,2025-09-15,53,75.0,Jan 2017,Nov 2022
N0002413C2307,125,2016-10-04,2025-02-21,201,228.0,Nov 2019,Jun 2023
N0002418C2307,128,2019-08-19,2026-03-25,78,19.7,Mar 2022,Dec 2025
N0002418C2307,129,2021-03-20,2026-02-18,33,10.5,Jan 2021,Aug 2027
N0002418C2307,131,2019-07-03,2025-03-20,11,3.0,Nov 2021,Nov 2028
N0002418C2307,133,2025-01-23,2025-04-18,5,0.5,Dec 2022,Feb 2030
N0002418C2307,135,2020-06-29,2020-06-29,1,926.0,Nov 2023,Feb 2031
N0002418C2307,137,2021-06-28,2026-02-13,12,3.9,Mar 2026,Feb 2032
N0002418C2307,139,2021-05-05,2026-02-13,24,2.9,Sep 2027,Aug 2033
N0002423C2307,141,2025-03-07,2025-04-18,4,-0.0,Sep 2028,Aug 2034
N0002423C2307,142,2025-03-07,2025-03-19,2,0.0,Sep 2029,Aug 2035
N0002423C2307,143,-,-,0,0.0,Sep 2030,Aug 2036
N0002423C2307,145,-,-,0,0.0,Sep 2031,Aug 2037
N0002423C2307,146,-,-,0,0.0,Sep 2032,Aug 2038
N0002423C2307,147,-,-,0,0.0,Sep 2033,Aug 2039
N0002423C2307,149,2025-04-18,2025-04-18,1,-0.1,Aug 2029,Sep 2036
