Program,Subawardee UEI,Capability Domain (D),Primary Output (P),Capability Domain Note,Primary Output Note
DDG,C12YPM9YKQA5,D7,P3,"Flowmeters, dew-point indicators and gas analyzers are process-instrumentation components.

https://www.panametrics.com/
https://www.bakerhughes.com/panametrics","Flowmeters/dew-point indicators/gas analyzers are measurement equipment, bounded functional (P3). [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-2."
DDG,C7QHHMJEALN1,D7,P2,"Shipboard wire and cable are component-level power/signal interconnect.

https://monroecableusa.com/
https://wirenet.org/listings/the-monroe-cable-company-inc/","Shipboard wire/cable is a finished installation component supplied for routing/termination, not raw metal stock.

https://govtribe.com/vendors/the-monroe-cable-company-dot-inc-dot-9r393
https://www.highergov.com/awardee/the-monroe-cable-company-inc-10014620/
https://wirenet.org/listings/the-monroe-cable-company-inc/"
DDG,C7RWMXEE6SD3,D5,P3,"Chilled-water air-conditioning plants and HESC chillers are HVAC/thermal equipment.

https://www.johnsoncontrols.com/marine-and-navy/hvac-solutions
https://www.highergov.com/contract-opportunity/johnson-controls-navy-systems-jcns-high-efficien-22-mmm-093-p-34e9d/","HESC chilled-water air-conditioning plants/chillers are functional shipboard HVAC equipment units.

https://www.highergov.com/contract-opportunity/johnson-controls-navy-systems-jcns-high-efficien-22-mmm-093-p-34e9d/
https://www.highergov.com/contract/N6449824C4002/
https://www.highergov.com/contract/N6449825D4018-N6449826FX037/"
DDG,CFXRGJSB9UB6,D3,P3,"Shock-hardened circuit breakers and switchgear protect/distribute ship service power.

https://govtribe.com/vendors/spd-electrical-systems-inc-dot-30086
https://www.leonardodrs.com/what-we-do/products-and-services/circuit-breakers/","Circuit breakers, switchgear, and power-distribution equipment are functional electrical protection/distribution units.

https://sam.gov/opp/7d72a86e8fb747c6a2bb38b7dd5761bc/view
https://www.asdnews.com/news/defense/2016/03/17/l3-provide-power-node-control-center-us-navy-destroyer-program
https://www.nsrp.org/wp-content/uploads/2016/11/3-Safer-Inspection-Public.pdf"
DDG,D2J1SSHB5EB7,D4,P3,"Sediment strainers and automatic backflushing strainers are fluid filtration hardware.

https://www.hellanstrainer.com/strainers/hellan-online-cleanable-strainers/hellan-automatic/
https://www.hellanstrainer.com/","Automatic backflushing strainers are functional filtration equipment; strainer elements do not make it a configured system.

https://www.highergov.com/nsn/4730014752135/
https://www.lqlite.com/NSN/4730-01-343-3680
https://www.wbparts.com/rfq/4730-01-475-2135.html"
DDG,DQ35GXAUTW61,D11,P6,"[MECE 2026-06-20: D9->D11 firm-level reclassification, ship application determinable] Abrasive blasting, surface preparation and protective coatings are specialty material/process work.

https://www.navsea.navy.mil/Portals/103/Documents/SSRAC/NSI/FY21/FY21%20NSI%20Finals/009-32_FY21_pkg.pdf","The handoff is abrasive blasting, surface preparation, and coating/painting labor rather than a finished ship article.

https://industrialcorrosion.com/"
DDG,DWUHNL9BC3U7,D4,P3,"Compressed-air dehydrators and chlorinators treat shipboard air/fluid pressure systems.

https://www.howelllabs.com/product-category/compressed-air-treatment/
https://www.howelllabs.com/product-category/water-treatment/seawater-treatment/chlorinators/
https://www.howelllabs.com/company/history/","Compressed-air dehydrators and electrochemical chlorinators are bounded functional treatment equipment units.

https://www.howelllabs.com/wp-content/themes/howelllabs/library/download/1.pdf
https://www.howelllabs.com/wp-content/themes/howelllabs/library/download/63.pdf
https://www.howelllabs.com/product-category/compressed-air-treatment/membrane-air-dehydrators/"
DDG,E83TNKA9JCY6,D5,P0,"Electrostatic air cleaners and filtration units condition/clean shipboard air.

https://docs.johnsoncontrols.com/airdistribution/api/khub/documents/9H8Lje6B0ehsuov86eopZw/content
https://www.trioniaq.com/","No public source identifies a Trion/Air Systems component installed during DDG-51 construction.

https://www.trioniaq.com/
https://www.airdistribution.com/"
DDG,EDNNTCM7SUS8,D9,P6,"Ship preservation, blasting and protective coating removal/application are specialty coating processes.

https://www.imiallc.com/services/preservation/
https://govtribe.com/vendors/international-marine-and-industrial-applicators-llc-50vu1","The role is ship preservation, coating removal/application, and structural repair support labor.

https://www.ndia.org/-/media/sites/ndia/meetings-and-events/2025/9/usw-fall/2025-usw-fall-program_final.pdf
https://www.navsea.navy.mil/Portals/103/Documents/Small_Business_Forum/NAVSEA%20Enterprise%20LRAE%20June%20FY25_Final%20Locked.xlsx"
DDG,ELC5EVMWFVM8,D8,P2,"SLAD quick-disconnect switch and weldment handle are davit/deck-machinery hardware.

https://www.lakeshoresys.com/marine-and-defense/cranes/
https://sam.gov/opp/d96a6580660c40c199779fc51724f9be/view","Quick-disconnect switch and weldment-handle items for the SLAD are fit-ready deck-machinery components.

https://www.lakeshoresys.com/marine-and-defense/cranes/
https://www.highergov.com/contract-opportunity/boat-davit-parts-n50054-18-t-0021-r-d05a0/"
DDG,ENNXJDZUYCK3,D7,P2,"Shipboard electrical/fiber-optic cable and cable assemblies are interconnect hardware.

https://www.marmon-ad.com/shipboard/low-smoke/defense-link-navsea-approved
https://www.marmon-ad.com/shipboard/dry-block","Shipboard cable and cable assemblies are finished fit-ready electrical/fiber-optic components, not raw material.

https://www.highergov.com/awardee/marmon-aerospace-defense-llc-10430473/
https://www.marmon-ad.com/"
DDG,EV4ZGUNNKMJ6,D1,P6,"Ship repair, alterations and fabrication indicate marine structural fabrication capability.

https://govtribe.com/vendors/pacific-ship-repair-fabrication-inc-dot-6q476
https://www.marinelogbuyersguide.com/company/847333/pacific-ship-repair-fabrication-inc","The confirmed DDG work is maintenance, repair, alteration, and fabrication service rather than a new-construction article.

https://www.usaspending.gov/award/CONT_AWD_N0002412C4400_9700_-NONE-_-NONE-
https://govtribe.com/vendors/pacific-ship-repair-fabrication-inc-dot-6q476
https://www.marinelink.com/news/modification-contract372221"
DDG,EVZMB1757DW5,D1,P2,"Structural-steel fabrication is hull/structural marine fabrication.

https://www.steelfab-inc.com/
https://www.northernedgeadvisors.com/deal/steelfab-inc/",Fabricated structural steel is a finished component (P2). vendor_class_matrix work_type=structural; NAICS 332312. [Promoted 2026-06-30 from ddg_sam_research_findings] §P4-2.
