Subaward Report ID,Prime PIID,Original Hull Confidence,Candidate Hull,Builder,Subaward Date,Candidate Hull Stage on Date,Window Match Flag,Date Source Confidence,Lifecycle Confidence,Include as Timing Candidate?,Reason
20699711,N0002413C2305,C,DDG 118,GD-BIW,2022-07-15,Post-delivery,FALSE,Actual,Low,FALSE,Jul 2022 after DDG 118 delivery - outside core build
20699711,N0002413C2305,C,DDG 122,GD-BIW,2022-07-15,Outfit / test,TRUE,Actual,Low,TRUE,Jul 2022 within DDG 122 outfit / test window (post-launch)
20699711,N0002413C2305,C,DDG 124,GD-BIW,2022-07-15,Construction,TRUE,Actual,Low,TRUE,Jul 2022 within DDG 124 construction window
20699711,N0002413C2305,C,DDG 126,GD-BIW,2022-07-15,Construction,TRUE,Projected,Low,TRUE,Jul 2022 within DDG 126 construction window
20699711,N0002413C2305,C,DDG 127,GD-BIW,2022-07-15,Construction,TRUE,Actual,Low,TRUE,Jul 2022 within DDG 127 construction window
20699712,N0002413C2305,C,DDG 118,GD-BIW,2023-07-13,Post-delivery,FALSE,Actual,Low,FALSE,Jul 2023 after DDG 118 delivery - outside core build
20699712,N0002413C2305,C,DDG 122,GD-BIW,2023-07-13,Outfit / test,TRUE,Actual,Low,TRUE,Jul 2023 within DDG 122 outfit / test window (post-launch)
20699712,N0002413C2305,C,DDG 124,GD-BIW,2023-07-13,Construction,TRUE,Actual,Low,TRUE,Jul 2023 within DDG 124 construction window
20699712,N0002413C2305,C,DDG 126,GD-BIW,2023-07-13,Construction,TRUE,Projected,Low,TRUE,Jul 2023 within DDG 126 construction window
20699712,N0002413C2305,C,DDG 127,GD-BIW,2023-07-13,Construction,TRUE,Actual,Low,TRUE,Jul 2023 within DDG 127 construction window
20699713,N0002413C2305,D,DDG 118,GD-BIW,2023-02-04,Post-delivery,FALSE,Actual,Low,FALSE,Feb 2023 after DDG 118 delivery - outside core build
20699713,N0002413C2305,D,DDG 122,GD-BIW,2023-02-04,Outfit / test,TRUE,Actual,Low,TRUE,Feb 2023 within DDG 122 outfit / test window (post-launch)
20699713,N0002413C2305,D,DDG 124,GD-BIW,2023-02-04,Construction,TRUE,Actual,Low,TRUE,Feb 2023 within DDG 124 construction window
20699713,N0002413C2305,D,DDG 126,GD-BIW,2023-02-04,Construction,TRUE,Projected,Low,TRUE,Feb 2023 within DDG 126 construction window
20699713,N0002413C2305,D,DDG 127,GD-BIW,2023-02-04,Construction,TRUE,Actual,Low,TRUE,Feb 2023 within DDG 127 construction window
20699714,N0002413C2305,C,DDG 118,GD-BIW,2022-07-21,Post-delivery,FALSE,Actual,Low,FALSE,Jul 2022 after DDG 118 delivery - outside core build
