Subaward Report ID,Prime PIID,Builder,Original Candidate Hulls,Timing Candidate Hulls,Timing Candidate Count,Candidate Stages,Stage Consensus Flag,Narrowing Result,Lifecycle Confidence,Lifecycle Attribution Scope,Assigned Hull
20699711,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699712,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699713,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699714,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699716,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction,TRUE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699717,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699718,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction,TRUE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699719,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699720,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699721,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction,TRUE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699722,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699723,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction,TRUE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699724,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699725,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 124 / DDG 126 / DDG 127,3,Construction / Outfit / test,FALSE,2-3 candidates,Medium,"Evidence-based narrowing, not modeled allocation",
20699726,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction,TRUE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699727,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699728,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 124 / DDG 126 / DDG 127,3,Construction / Outfit / test,FALSE,2-3 candidates,Medium,"Evidence-based narrowing, not modeled allocation",
20699729,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 124 / DDG 126 / DDG 127,3,Construction / Outfit / test,FALSE,2-3 candidates,Medium,"Evidence-based narrowing, not modeled allocation",
20699730,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699731,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699732,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699733,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699734,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699735,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699736,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699737,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699738,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699739,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699740,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 124 / DDG 126 / DDG 127,3,Construction / Outfit / test,FALSE,2-3 candidates,Medium,"Evidence-based narrowing, not modeled allocation",
20699741,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction,TRUE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
20699742,N0002413C2305,GD-BIW,DDG 118 / DDG 122 / DDG 124 / DDG 126 / DDG 127,DDG 122 / DDG 124 / DDG 126 / DDG 127,4,Construction / Outfit / test,FALSE,Still family-level,Low,"Evidence-based narrowing, not modeled allocation",
