Key,Program,Subawardee UEI,Subawardee Vendor Name,Primary NAICS-6,NAICS-6 Description,Parent UEI,Parent Vendor Name,Parent UEI(s),Role / Description,Source URLs
DDG|HLVBPCA2LH41,DDG,HLVBPCA2LH41,ROLLS-ROYCE MARINE NORTH AMERICA INC.,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,VE65QFAKCLG7,ROLLS-ROYCE HOLDINGS PLC,F32RBQ3CHAG9; VE65QFAKCLG7,"This UEI is Rolls-Royce Naval Marine’s Walpole, Massachusetts operation. For DDG-51 ships, public Rolls-Royce evidence ties Walpole to controllable-pitch-propeller hub and oil-distribution-box work and to production/service of naval propeller components; it should not be conflated with the Indianapolis sibling that supplies the generator-set gas-turbine prime movers.","https://www.highergov.com/awardee/rolls-royce-marine-north-america-inc-10106597/
https://www.rolls-royce.com/media/press-releases/2020/24-06-2020-rr-secures-us-navy-contracts-totalling.aspx"
DDG|J1T1FEN3PWX6,DDG,J1T1FEN3PWX6,GENERAL ELECTRIC COMPANY,336412,Aircraft Engine and Engine Parts Manufacturing,JRZ1WHXAKBM3,GENERAL ELECTRIC COMPANY,J1T1FEN3PWX6; JRZ1WHXAKBM3,GE’s Evendale/Cincinnati aircraft-engine entity produces LM2500 aeroderivative gas turbines used as the DDG-51 class’s main-propulsion engines. GE states that each Arleigh Burke-class destroyer is powered by four LM2500-family engines.,https://www.ge.com/news/press-releases/ge-delivers-200th-lm2500-aeroderivative-gas-turbine
DDG|J3AFGKXWYK73,DDG,J3AFGKXWYK73,York International Corporation,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,XEQ3L57D2J24,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,XEQ3L57D2J24; Z2N8C3NL8FW5,"This legacy York International registration is the York, Pennsylvania HVAC/refrigeration operation. YORK equipment is used for shipboard heating, ventilation, air-conditioning, and refrigeration, but public evidence does not separate this UEI’s DDG-51 deliverable from the affiliated Johnson Controls Navy Systems entity.","https://www.govchime.com/market-intelligence/awards/CONT_AWD_0001_9700_SPE4A616D5099_9700
https://www.johnsoncontrols.com/marine-and-navy
https://www.naics.com/company-profile-page/?co=2780"
DDG|SLD5KEGGLLZ3,DDG,SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,,,,Provides Navy HVAC/refrigeration and chilled-water air-conditioning equipment for DDG-51-type surface combatants. Johnson Controls Navy Systems sources describe Navy HVAC/R solutions and High Efficiency Super Capacity (HESC) air-conditioning plants; DDG-51 class ships use distributed chilled-water air-conditioning plants to cool ship systems and habitability spaces.,https://www.johnsoncontrols.com/marine-and-navy/hvac-and-refrigeration; https://www.johnsoncontrols.com/marine-and-navy/hvac-solutions/navy-and-non-combat-solutions; https://www.johnsoncontrols.com/industries/marine-and-navy/navy; https://www.highergov.com/contract-opportunity/johnson-controls-navy-systems-jcns-high-efficien-22-mmm-093-p-34e9d/; https://www.lce.com/case-studies/ensuring-functional-air-conditioning-units-helps-to-keep-destroyer-at-sea-2/; https://www.calnetix.com/case-studies/high-efficiency-chiller-compressor-ships
DDG|FZPYZ11SFNA6,DDG,FZPYZ11SFNA6,TIMKEN GEARS & SERVICES INC.,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",H4FZBFXLJ636,"TIMKEN COMPANY, THE",H4FZBFXLJ636,"Through Philadelphia Gear, supplies main reduction gears for DDG-51 Flight III propulsion. Timken public releases describe a long-term Bath Iron Works contract to provide main reduction gears for future Flight III Arleigh Burke/DDG-51 ships; other public Navy/industry reporting identifies shipsets of DDG-51 main reduction gears.",https://news.timken.com/2023-02-21-Timken-to-Continue-to-Provide-Main-Reduction-Gears-for-U-S-Navy-Arleigh-Burke-DDG-51-Class-Ships; https://www.prnewswire.com/news-releases/timken-to-continue-to-provide-main-reduction-gears-for-us-navy-arleigh-burke-ddg-51-class-ships-301751216.html; https://www.globalsecurity.org/military/library/news/2023/06/mil-230603-sputnik02.htm; https://www.naval-technology.com/news/us-navy-mrg-ddg-51-class/
DDG|HNAECT5M9TM4,DDG,HNAECT5M9TM4,"SOCAIL, LDA",,"n/a (foreign, no SAM record)",,,,"Public sources reviewed do not identify the specific DDG-51 item or service. Portuguese business directories describe SOCAIL as an industrial-piping/plumbing and building-construction contractor; because no reliable source ties a particular product or work package to the DDG subaward, the DDG-51 role cannot be confirmed.","https://www.guiadacidade.pt/pt/e/socail-sociedade-de-canalizacoes-industriais-lda-1239978
https://www.racius.com/socail-lda/"
DDG|PQGNEEY9W5M3,DDG,PQGNEEY9W5M3,NORTHROP GRUMMAN SYSTEMS CORPORATION,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",NKVZLJL93QT6,NORTHROP GRUMMAN CORPORATION,NKVZLJL93QT6,Supplies Integrated Bridge and Navigation System (IBNS) steering-control hardware for DDG-51-class ships; a Navy procurement specifically identifies an IBNS aft steering unit.,https://sam.gov/opp/e1e2cfe0cc62478a9016814b7a6357ad/view
DDG|GXPHJRVG9MR7,DDG,GXPHJRVG9MR7,DRS NAVAL POWER SYSTEMS INC,335311,"Power, Distribution, and Specialty Transformer Manufacturing",W8PTMRME1496,LEONARDO SPA,W8PTMRME1496; YYVHWZMPP3F8,"The Menomonee Falls DRS Naval Power Systems entity manufactures naval electrical power-distribution hardware, including transformers, switchboards/load centers, power-conditioning equipment, and related controls. Public sources confirm the facility and product family, but do not disclose the exact DDG-51 unit covered by this UEI’s subaward.","https://www.highergov.com/awardee/drs-naval-power-systems-inc-10114216/
https://www.leonardodrs.com/locations/naval-power-systems-menomonee-falls-wi/
https://www.leonardodrs.com/what-we-do/products-and-services/ship-power-and-propulsion/"
DDG|ZW3UMG9YVNA9,DDG,ZW3UMG9YVNA9,L-3 COMMUNICATIONS WESTWOOD CORPORATION,335313,Switchgear and Switchboard Apparatus Manufacturing,ZW3UMG9YVNA9,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC.",PNE9R5EJMWK8; SJULQDJ8NZU7; XXP4PLFFFGK9; ZW3UMG9YVNA9,This UEI is the Tulsa maritime power business formerly known as L-3 Westwood. It supplies MIL-SPEC shipboard switchboards and load centers used to distribute electrical power on DDG-51-class ships.,"https://www.highergov.com/awardee/l3harris-maritime-power-energy-solutions-inc-10423117/
https://www.l3harris.com/all-capabilities/military-specification-switchboards-and-load-centers"
DDG|QGB4RDYJNJT9,DDG,QGB4RDYJNJT9,ELLWOOD NATIONAL FORGE COMPANY,332111,Iron and Steel Forging,GKPGD2F1LKL5,"ELLWOOD GROUP, INC.",GKPGD2F1LKL5; SNP5XVVL5896; SVXNHLLWX953,"Ellwood National Forge’s Irvine, Pennsylvania operation produces large open-die steel forgings and forged shafting for naval and other heavy-duty applications. The specific DDG-51 forging covered by this subaward is not publicly identified, so no particular shaft, rotor, or coupling should be assigned.","https://www.sweetspot.so/markets/federal/contractors/ellwood-national-forge-company-qgb4rdyjnjt9/
https://www.ellwoodnationalforge.com/"
