Subawardee UEI,Subawardee Vendor Name,Subawardee DBA Name,Parent UEI,Parent Vendor Name,Subaward Report ID,Subaward Report Number,Subaward Number,Subaward Date,Submitted Date,Subaward Amount $,Subaward Description,Subawardee Street Address,Subawardee Street Address 2,Subawardee City,Subawardee Congressional District,Subawardee State Code,Subawardee State Name,Country Code,Country Name,Subawardee ZIP,Business Type Codes,Business Type Names,Top Pay Salaries,Top Pay Employee Names,Prime PIID,Prime Contract Key,Agency ID,Referenced IDV PIID,Referenced IDV Agency ID,Prime Award Type,Total Contract Value $,Base Award Date Signed,Prime Entity UEI,Prime Entity Name,Description of Requirement,Prime NAICS,Prime NAICS Description,Funding Agency Code,Funding Agency Name,Funding Office Code,Funding Office Name,Funding Department Code,Funding Department Name,Contracting Agency Code,Contracting Agency Name,Contracting Office Code,Contracting Office Name,Contracting Department Code,Contracting Department Name,HII Work-Item Code,Builder,SWBS Subsystem,SWBS,SWBS basis,Direct Hull Text,Direct Hull Count,Prime Requirement Hull Text,Prime Requirement Hull Count,Lifecycle Stage,Lifecycle Stage Basis,Date Source Confidence,Narrowing Result,Lifecycle Confidence
WWMME88ERQG5,"BESTWELD, INC.",HUNTINGTON INGALLS INCORPORATED,,,20699977,9e69bbc6-fcb9-11ef-8e2a-e7034f2d18cd,955765-1,2017-03-02,2017-07-17,106194.5,07280-01 (DDG-125),40 ROBINSON ST,,pottstown,15,PA,Pennsylvania,USA,United States,194646440,2X; A5; MF; XS,For-Profit Organization; Veteran Owned Business; Manufacturer of Goods; S Corporation,,,N0002413C2307,CONT_AWD_N0002413C2307_9700_-NONE-_-NONE-,9700,,,AWARD,3.344628911E9,2017-07-15,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,DDG 119 FY17 QTR1 ORDERING PROCEDURES CONTRACT MODIFICATION FOR 1/1/2017 - 3/31/2017,336611,336611 -- Ship Building and Repairing,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N69316,SUP OF SHIPBUILDING CONV AND REPAIR,9700,DEPT OF DEFENSE,07280-01,HII-Ingalls,,,,DDG 125,1,DDG 119,1,Long-lead,Mar 2017 in DDG 125 long-lead window (before fabrication start),Actual,,
XK68QNYRQCH8,"AMERICAN BOA, INCORPORATED",HUNTINGTON INGALLS INCORPORATED,K1M4HECUHKR4,AEA Europe Fund L.P.,20699864,9e6886a2-fcb9-11ef-8e2a-e7034f2d18cd,956044-1,2017-03-02,2017-07-17,88100.0,07297-01 (DDG-125),1485 REDI ROAD,,cumming,09,GA,Georgia,USA,United States,300405893,20; 2X; MF,Foreign Owned and Located; For-Profit Organization; Manufacturer of Goods,,,N0002413C2307,CONT_AWD_N0002413C2307_9700_-NONE-_-NONE-,9700,,,AWARD,3.344628911E9,2017-07-15,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,DDG 119 FY17 QTR1 ORDERING PROCEDURES CONTRACT MODIFICATION FOR 1/1/2017 - 3/31/2017,336611,336611 -- Ship Building and Repairing,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N69316,SUP OF SHIPBUILDING CONV AND REPAIR,9700,DEPT OF DEFENSE,07297-01,HII-Ingalls,,,,DDG 125,1,DDG 119,1,Long-lead,Mar 2017 in DDG 125 long-lead window (before fabrication start),Actual,,
MSYWUDGYPKF5,"CP INDUSTRIES HOLDINGS, INC.",HUNTINGTON INGALLS INCORPORATED,C8TMP34LW2L6,EVEREST KANTO CYLINDER LIMITED,20700112,9e6b8780-fcb9-11ef-8e2a-e7034f2d18cd,958898-1,2017-03-16,2017-07-17,53295.0,07307-02 (DDG125),2214 WALNUT ST,,mckeesport,18,PA,Pennsylvania,USA,United States,151327054,20; 2X,Foreign Owned and Located; For-Profit Organization,,,N0002413C2307,CONT_AWD_N0002413C2307_9700_-NONE-_-NONE-,9700,,,AWARD,3.344628911E9,2017-07-15,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,DDG 119 FY17 QTR1 ORDERING PROCEDURES CONTRACT MODIFICATION FOR 1/1/2017 - 3/31/2017,336611,336611 -- Ship Building and Repairing,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N69316,SUP OF SHIPBUILDING CONV AND REPAIR,9700,DEPT OF DEFENSE,07307-02,HII-Ingalls,,,,DDG 125,1,DDG 119,1,Long-lead,Mar 2017 in DDG 125 long-lead window (before fabrication start),Actual,,
XMLNYKT139G8,CRESTWOOD TECHNOLOGY GROUP CORP.,HUNTINGTON INGALLS INCORPORATED,XMLNYKT139G8,CRESTWOOD TECHNOLOGY GROUP CORP.,20700122,9e6ba184-fcb9-11ef-8e2a-e7034f2d18cd,959537-1,2017-03-16,2017-07-17,27970.0,08040-02 (DDG125),1 ODELL PLZ STE 139,,yonkers,18,NY,New York,USA,United States,107011402,2X; LJ; MF,For-Profit Organization; Limited Liability Company; Manufacturer of Goods,,,N0002413C2307,CONT_AWD_N0002413C2307_9700_-NONE-_-NONE-,9700,,,AWARD,3.344628911E9,2017-07-15,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,DDG 119 FY17 QTR1 ORDERING PROCEDURES CONTRACT MODIFICATION FOR 1/1/2017 - 3/31/2017,336611,336611 -- Ship Building and Repairing,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N69316,SUP OF SHIPBUILDING CONV AND REPAIR,9700,DEPT OF DEFENSE,08040-02,HII-Ingalls,,,,DDG 125,1,DDG 119,1,Long-lead,Mar 2017 in DDG 125 long-lead window (before fabrication start),Actual,,
JK16ZQ9FRJ51,TAVERNIER DIDIER,HUNTINGTON INGALLS INCORPORATED,,,20701780,a2491962-fcb9-11ef-8e2a-e7034f2d18cd,953763-1,2017-03-28,2017-07-17,118542.0,04100-01 AESS & ASSFC (DDG125),43 B RUE DE MOUREY,,le teich,,ZZ,Non-US,FR,France,33470,,,,,N0002413C2307,CONT_AWD_N0002413C2307_9700_-NONE-_-NONE-,9700,,,AWARD,3.344628911E9,2017-07-15,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,DDG 119 FY17 QTR1 ORDERING PROCEDURES CONTRACT MODIFICATION FOR 1/1/2017 - 3/31/2017,336611,336611 -- Ship Building and Repairing,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N69316,SUP OF SHIPBUILDING CONV AND REPAIR,9700,DEPT OF DEFENSE,04100-01,HII-Ingalls,,,,DDG 125,1,DDG 119,1,Long-lead,Mar 2017 in DDG 125 long-lead window (before fabrication start),Actual,,
CQQUMMDARBG3,THE DEWEY ELECTRONICS CORPORATION,HUNTINGTON INGALLS INCORPORATED,M647MA6E64V1,"DEWEY ELECTRONICS CORPORATION, THE",20701791,a249383e-fcb9-11ef-8e2a-e7034f2d18cd,962366-1,2017-03-29,2017-07-17,25956.0,05241-01 (DDG-125),27 MULLER RD,,oakland,05,NJ,New Jersey,USA,United States,074361313,,,,,N0002413C2307,CONT_AWD_N0002413C2307_9700_-NONE-_-NONE-,9700,,,AWARD,3.344628911E9,2017-07-15,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,DDG 119 FY17 QTR1 ORDERING PROCEDURES CONTRACT MODIFICATION FOR 1/1/2017 - 3/31/2017,336611,336611 -- Ship Building and Repairing,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N69316,SUP OF SHIPBUILDING CONV AND REPAIR,9700,DEPT OF DEFENSE,05241-01,HII-Ingalls,,,,DDG 125,1,DDG 119,1,Long-lead,Mar 2017 in DDG 125 long-lead window (before fabrication start),Actual,,
FNQSY3S2MCM9,"STS OPERATING, INC.",HUNTINGTON INGALLS INCORPORATED,RU42J22YFWW5,"STS OPERATING, INC.",20701736,a2488c4a-fcb9-11ef-8e2a-e7034f2d18cd,961871-1,2017-04-05,2017-07-17,28496.92,07131-02 (DDG125),5109 TARAVELLA RD,,marrero,01,LA,Louisiana,USA,United States,700724242,2X,For-Profit Organization,,,N0002413C2307,CONT_AWD_N0002413C2307_9700_-NONE-_-NONE-,9700,,,AWARD,3.344628911E9,2017-07-15,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,DDG 119 FY17 QTR1 ORDERING PROCEDURES CONTRACT MODIFICATION FOR 1/1/2017 - 3/31/2017,336611,336611 -- Ship Building and Repairing,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N69316,SUP OF SHIPBUILDING CONV AND REPAIR,9700,DEPT OF DEFENSE,07131-02,HII-Ingalls,,,,DDG 125,1,DDG 119,1,Long-lead,Apr 2017 in DDG 125 long-lead window (before fabrication start),Actual,,
WPP2ABN6UCF5,"L3 TECHNOLOGIES, INC.",HUNTINGTON INGALLS INCORPORATED,XXP4PLFFFGK9,"L3 TECHNOLOGIES, INC.",20700962,a0a9b814-fcb9-11ef-8e2a-e7034f2d18cd,977808-1,2017-06-09,2017-07-13,101817.0,08135-01  DDG125,90 NEMCO WAY,,ayer,05,MA,Massachusetts,USA,United States,014321541,2X; MF,For-Profit Organization; Manufacturer of Goods,,,N0002413C2307,CONT_AWD_N0002413C2307_9700_-NONE-_-NONE-,9700,,,AWARD,3.344628911E9,2017-07-07,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,CHANGE ORDER FOR FLIGHT III CSE ECPS,336611,336611 -- Ship Building and Repairing,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N69316,SUP OF SHIPBUILDING CONV AND REPAIR,9700,DEPT OF DEFENSE,08135-01,HII-Ingalls,,,,DDG 125,1,,0,Long-lead,Jun 2017 in DDG 125 long-lead window (before fabrication start),Actual,,
PJRYS7EFXQD9,"B.N.L. INDUSTRIES, INC.",HUNTINGTON INGALLS INCORPORATED,,,20699936,9e694dbc-fcb9-11ef-8e2a-e7034f2d18cd,985697-1,2017-07-25,2017-08-03,66111.15,07004-01 (DDG125),30 INDUSTRIAL PARK RD,,vernon,02,CT,Connecticut,USA,United States,060665523,2X; MF; XS,For-Profit Organization; Manufacturer of Goods; S Corporation,,,N0002413C2307,CONT_AWD_N0002413C2307_9700_-NONE-_-NONE-,9700,,,AWARD,3.344628911E9,2017-08-01,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,EXTENSION OF SWO FOR SONAR DOME PRESSURE RELIEF VALVE,336611,336611 -- Ship Building and Repairing,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N69316,SUP OF SHIPBUILDING CONV AND REPAIR,9700,DEPT OF DEFENSE,07004-01,HII-Ingalls,,,,DDG 125,1,,0,Long-lead,Jul 2017 in DDG 125 long-lead window (before fabrication start),Actual,,
PJRYS7EFXQD9,"B.N.L. INDUSTRIES, INC.",HUNTINGTON INGALLS INCORPORATED,,,20699935,9e694b1e-fcb9-11ef-8e2a-e7034f2d18cd,985697-1,2017-07-25,2017-08-03,66111.15,07004-01 (DDG125),30 INDUSTRIAL PARK RD,,vernon,02,CT,Connecticut,USA,United States,060665523,2X; MF; XS,For-Profit Organization; Manufacturer of Goods; S Corporation,,,N0002413C2307,CONT_AWD_N0002413C2307_9700_-NONE-_-NONE-,9700,,,AWARD,3.344628911E9,2017-08-01,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,EXTENSION OF SWO FOR SONAR DOME PRESSURE RELIEF VALVE,336611,336611 -- Ship Building and Repairing,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N69316,SUP OF SHIPBUILDING CONV AND REPAIR,9700,DEPT OF DEFENSE,07004-01,HII-Ingalls,,,,DDG 125,1,,0,Long-lead,Jul 2017 in DDG 125 long-lead window (before fabrication start),Actual,,
