Subawardee UEI,Subawardee Vendor Name,Subawardee DBA Name,Parent UEI,Parent Vendor Name,Subaward Report ID,Subaward Report Number,Subaward Number,Subaward Date,Submitted Date,Subaward Amount $,Subaward Description,Subawardee Street Address,Subawardee Street Address 2,Subawardee City,Subawardee Congressional District,Subawardee State Code,Subawardee State Name,Country Code,Country Name,Subawardee ZIP,Business Type Codes,Business Type Names,Top Pay Salaries,Top Pay Employee Names,Prime PIID,Prime Contract Key,Agency ID,Referenced IDV PIID,Referenced IDV Agency ID,Prime Award Type,Total Contract Value $,Base Award Date Signed,Prime Entity UEI,Prime Entity Name,Description of Requirement,Prime NAICS,Prime NAICS Description,Funding Agency Code,Funding Agency Name,Funding Office Code,Funding Office Name,Funding Department Code,Funding Department Name,Contracting Agency Code,Contracting Agency Name,Contracting Office Code,Contracting Office Name,Contracting Department Code,Contracting Department Name,HII Work-Item Code,Builder,SWBS Subsystem,SWBS,SWBS basis,Direct Hull Text,Direct Hull Count,Prime Requirement Hull Text,Prime Requirement Hull Count,Lifecycle Stage,Lifecycle Stage Basis,Date Source Confidence,Narrowing Result,Lifecycle Confidence
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,,,,21030969,bff9a048-fcba-11ef-8e2a-e7034f2d18cd,11496-0,2024-11-05,2025-01-09,2022798.8,DDG 137 SOW UNIT OUTSOURCING (D41/D42),5700 PROCTER ST EXT,,port arthur,14,TX,Texas,USA,United States,77642,2X,For-Profit Organization,,,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.40674494985E9,2024-12-19,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,"PR-162317 INSTALL DOOR RELEASE PUSH BUTTON IN CSMC 01-130-0-C
CONSTRUCTION OF DDG 51 SHIP
FIRM SHIP FY19 DDG131
FIRM SHIP FY20 DDG133
OPTION SHIP FY20 DDG135
FIRM SHIP FY21 DDG137
FIRM SHIP FY22 DDG139",336611,336611 -- Ship Building and Repairing,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N69316,SUP OF SHIPBUILDING CONV AND REPAIR,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 137,1,DDG 131 / DDG 133 / DDG 135 / DDG 137 / DDG 139,5,Long-lead,Nov 2024 in DDG 137 long-lead window (before fabrication start),Projected,,
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,,,,21030970,bff9a30e-fcba-11ef-8e2a-e7034f2d18cd,13312-0,2024-12-13,2025-01-09,3195915.09,DDG 137 SOW UNIT OUTSOURCING (D52),5700 PROCTER ST EXT,,port arthur,14,TX,Texas,USA,United States,77642,2X,For-Profit Organization,,,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.40674494985E9,2024-12-19,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,"PR-162317 INSTALL DOOR RELEASE PUSH BUTTON IN CSMC 01-130-0-C
CONSTRUCTION OF DDG 51 SHIP
FIRM SHIP FY19 DDG131
FIRM SHIP FY20 DDG133
OPTION SHIP FY20 DDG135
FIRM SHIP FY21 DDG137
FIRM SHIP FY22 DDG139",336611,336611 -- Ship Building and Repairing,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N69316,SUP OF SHIPBUILDING CONV AND REPAIR,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 137,1,DDG 131 / DDG 133 / DDG 135 / DDG 137 / DDG 139,5,Long-lead,Dec 2024 in DDG 137 long-lead window (before fabrication start),Projected,,
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,,,,21030968,bff99d78-fcba-11ef-8e2a-e7034f2d18cd,13827-0,2024-12-20,2025-01-09,1678498.34,"DDG 137 SOW UNIT OUTSOURCING (D11, D21, D31)",5700 PROCTER ST EXT,,port arthur,14,TX,Texas,USA,United States,77642,2X,For-Profit Organization,,,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.40674494985E9,2024-12-19,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,"PR-162317 INSTALL DOOR RELEASE PUSH BUTTON IN CSMC 01-130-0-C
CONSTRUCTION OF DDG 51 SHIP
FIRM SHIP FY19 DDG131
FIRM SHIP FY20 DDG133
OPTION SHIP FY20 DDG135
FIRM SHIP FY21 DDG137
FIRM SHIP FY22 DDG139",336611,336611 -- Ship Building and Repairing,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N69316,SUP OF SHIPBUILDING CONV AND REPAIR,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 137,1,DDG 131 / DDG 133 / DDG 135 / DDG 137 / DDG 139,5,Long-lead,Dec 2024 in DDG 137 long-lead window (before fabrication start),Projected,,
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,,,,29270373,d282f89d-691a-4ea7-a067-657edcb86136,2009-2,2025-03-12,2025-05-23,682642.98,DDG 135 SOW UNIT OUTSOURCING (GULF COPPER),5700 PROCTER ST EXT,,PORT ARTHUR,14,TX,TEXAS,USA,UNITED STATES,77642,2X; F,For Profit Organization; Business or Organization,,,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.42266627585E9,2018-09-27,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,336611,SHIP BUILDING AND REPAIRING,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 135,1,,0,Construction,Mar 2025 within DDG 135 construction window,Projected,,
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,,,,29270363,982f2543-fbe3-46af-a331-69cdd491f607,16979-0,2025-03-27,2025-05-23,2563805.27,DDG 137 SOW UNIT OUTSOURCING (GB A16 & A21),5700 PROCTER ST EXT,,PORT ARTHUR,14,TX,TEXAS,USA,UNITED STATES,77642,2X; F,For Profit Organization; Business or Organization,,,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.42266627585E9,2018-09-27,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,336611,SHIP BUILDING AND REPAIRING,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 137,1,,0,Long-lead,Mar 2025 in DDG 137 long-lead window (before fabrication start),Projected,,
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,,,,29270671,b9e7e335-931c-4359-835a-89cbad3a0b33,11496-2,2025-03-28,2025-05-23,-229595.47,DDG 137 SOW UNIT OUTSOURCING (D41/D42),5700 PROCTER ST EXT,,PORT ARTHUR,14,TX,TEXAS,USA,UNITED STATES,77642,2X; F,For Profit Organization; Business or Organization,,,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.42266627585E9,2018-09-27,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,336611,SHIP BUILDING AND REPAIRING,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 137,1,,0,Long-lead,Mar 2025 in DDG 137 long-lead window (before fabrication start),Projected,,
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,,,,29286379,88dd4d7d-fdab-4aa3-a87f-1372b91135b9,11496-3,2025-05-22,2025-05-29,717782.0,DDG 137 SOW UNIT OUTSOURCING (D41/D42),5700 PROCTER ST EXT,,PORT ARTHUR,14,TX,TEXAS,USA,UNITED STATES,77642,2X; F,For Profit Organization; Business or Organization,,,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.42301366285E9,2018-09-27,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,336611,SHIP BUILDING AND REPAIRING,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 137,1,,0,Long-lead,May 2025 in DDG 137 long-lead window (before fabrication start),Projected,,
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,,,,29309399,200edf90-e2d4-4a70-93da-f1496015f7df,13312-2,2025-06-06,2025-06-09,-157873.0,DDG 137 SOW UNIT OUTSOURCING (D52),5700 PROCTER ST EXT,,PORT ARTHUR,14,TX,TEXAS,USA,UNITED STATES,77642,2X; F,For Profit Organization; Business or Organization,,,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.42301366285E9,2018-09-27,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,336611,SHIP BUILDING AND REPAIRING,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 137,1,,0,Long-lead,Jun 2025 in DDG 137 long-lead window (before fabrication start),Projected,,
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,,,,29334500,11fa046d-f2f0-405e-8879-c6884e51f537,13827-2,2025-06-16,2025-06-23,737479.0,DDG 137 GRAND BLOCK,5700 PROCTER ST EXT,,PORT ARTHUR,14,TX,TEXAS,USA,UNITED STATES,77642,2X; F,For Profit Organization; Business or Organization,,,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.45502175185E9,2018-09-27,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,336611,SHIP BUILDING AND REPAIRING,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 137,1,,0,Long-lead,Jun 2025 in DDG 137 long-lead window (before fabrication start),Projected,,
QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,,,,29358833,6ed80e1c-be4e-416d-81cd-20c3240ee922,16979-1,2025-06-24,2025-06-30,-98866.0,DDG 137 SOW UNIT OUTSOURCING (GB A16 & A21),5700 PROCTER ST EXT,,PORT ARTHUR,14,TX,TEXAS,USA,UNITED STATES,77642,2X; F,For Profit Organization; Business or Organization,,,N0002418C2307,CONT_AWD_N0002418C2307_9700_-NONE-_-NONE-,9700,,,AWARD,6.63374195385E9,2018-09-27,C3NLZNSMU254,HUNTINGTON INGALLS INCORPORATED,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,336611,SHIP BUILDING AND REPAIRING,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,9700,DEPT OF DEFENSE,,HII-Ingalls,,,,DDG 137,1,,0,Long-lead,Jun 2025 in DDG 137 long-lead window (before fabrication start),Projected,,
