Subawardee UEI,Subawardee NAICS-6 (Primary),Subawardee NAICS-6 Description,Parent UEI,Parent Vendor Name,Subawardee Vendor Name,Predominant Place of Performance (by records),Subaward $M,Published Subaward Records,First Subaward,Last Subaward,≤FY12 $M,FY13 $M,FY14 $M,FY15 $M,FY16 $M,FY17 $M,FY18 $M,FY19 $M,FY20 $M,FY21 $M,FY22 $M,FY23 $M,FY24 $M,FY25 $M,FY26 $M,Capability Domain Archetype (D),Capability Domain Archetype Basis,Primary Output Archetype (P),Primary Output Archetype Basis,Role / Description,Source URLs
HLVBPCA2LH41,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,,ROLLS-ROYCE HOLDINGS PLC,ROLLS-ROYCE MARINE NORTH AMERICA INC.,Domestic,438.377558,124,2013-06-05,2025-11-26,,,,,,,,,,,,,,,,,,,,"This UEI is Rolls-Royce Naval Marine’s Walpole, Massachusetts operation. For DDG-51 ships, public Rolls-Royce evidence ties Walpole to controllable-pitch-propeller hub and oil-distribution-box work and to production/service of naval propeller components; it should not be conflated with the Indianapolis sibling that supplies the generator-set gas-turbine prime movers.","https://www.highergov.com/awardee/rolls-royce-marine-north-america-inc-10106597/
https://www.rolls-royce.com/media/press-releases/2020/24-06-2020-rr-secures-us-navy-contracts-totalling.aspx"
J1T1FEN3PWX6,336412,Aircraft Engine and Engine Parts Manufacturing,,GENERAL ELECTRIC COMPANY,GENERAL ELECTRIC COMPANY,Domestic,333.092747,28,2022-04-29,2026-01-09,,,,,,,,,,,,,,,,,,,,GE’s Evendale/Cincinnati aircraft-engine entity produces LM2500 aeroderivative gas turbines used as the DDG-51 class’s main-propulsion engines. GE states that each Arleigh Burke-class destroyer is powered by four LM2500-family engines.,https://www.ge.com/news/press-releases/ge-delivers-200th-lm2500-aeroderivative-gas-turbine
J3AFGKXWYK73,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,York International Corporation,Domestic,191.899856,56,2013-06-03,2022-01-13,,,,,,,,,,,,,,,,,,,,"This legacy York International registration is the York, Pennsylvania HVAC/refrigeration operation. YORK equipment is used for shipboard heating, ventilation, air-conditioning, and refrigeration, but public evidence does not separate this UEI’s DDG-51 deliverable from the affiliated Johnson Controls Navy Systems entity.","https://www.govchime.com/market-intelligence/awards/CONT_AWD_0001_9700_SPE4A616D5099_9700
https://www.johnsoncontrols.com/marine-and-navy
https://www.naics.com/company-profile-page/?co=2780"
SLD5KEGGLLZ3,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,,,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",Domestic,178.014782,45,2022-03-11,2025-12-03,,,,,,,,,,,,,,,,,,,,Provides Navy HVAC/refrigeration and chilled-water air-conditioning equipment for DDG-51-type surface combatants. Johnson Controls Navy Systems sources describe Navy HVAC/R solutions and High Efficiency Super Capacity (HESC) air-conditioning plants; DDG-51 class ships use distributed chilled-water air-conditioning plants to cool ship systems and habitability spaces.,https://www.johnsoncontrols.com/marine-and-navy/hvac-and-refrigeration; https://www.johnsoncontrols.com/marine-and-navy/hvac-solutions/navy-and-non-combat-solutions; https://www.johnsoncontrols.com/industries/marine-and-navy/navy; https://www.highergov.com/contract-opportunity/johnson-controls-navy-systems-jcns-high-efficien-22-mmm-093-p-34e9d/; https://www.lce.com/case-studies/ensuring-functional-air-conditioning-units-helps-to-keep-destroyer-at-sea-2/; https://www.calnetix.com/case-studies/high-efficiency-chiller-compressor-ships
FZPYZ11SFNA6,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",,"TIMKEN COMPANY, THE",TIMKEN GEARS & SERVICES INC.,Domestic,169.173617,8,2015-01-26,2025-06-18,,,,,,,,,,,,,,,,,,,,"Through Philadelphia Gear, supplies main reduction gears for DDG-51 Flight III propulsion. Timken public releases describe a long-term Bath Iron Works contract to provide main reduction gears for future Flight III Arleigh Burke/DDG-51 ships; other public Navy/industry reporting identifies shipsets of DDG-51 main reduction gears.",https://news.timken.com/2023-02-21-Timken-to-Continue-to-Provide-Main-Reduction-Gears-for-U-S-Navy-Arleigh-Burke-DDG-51-Class-Ships; https://www.prnewswire.com/news-releases/timken-to-continue-to-provide-main-reduction-gears-for-us-navy-arleigh-burke-ddg-51-class-ships-301751216.html; https://www.globalsecurity.org/military/library/news/2023/06/mil-230603-sputnik02.htm; https://www.naval-technology.com/news/us-navy-mrg-ddg-51-class/
HNAECT5M9TM4,,"n/a (foreign, no SAM record)",,,"SOCAIL, LDA",Foreign,151.35201,10,2013-07-01,2017-08-28,,,,,,,,,,,,,,,,,,,,"Public sources reviewed do not identify the specific DDG-51 item or service. Portuguese business directories describe SOCAIL as an industrial-piping/plumbing and building-construction contractor; because no reliable source ties a particular product or work package to the DDG subaward, the DDG-51 role cannot be confirmed.","https://www.guiadacidade.pt/pt/e/socail-sociedade-de-canalizacoes-industriais-lda-1239978
https://www.racius.com/socail-lda/"
PQGNEEY9W5M3,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",,NORTHROP GRUMMAN CORPORATION,NORTHROP GRUMMAN SYSTEMS CORPORATION,Domestic,123.709839,78,2013-06-17,2025-11-10,,,,,,,,,,,,,,,,,,,,Supplies Integrated Bridge and Navigation System (IBNS) steering-control hardware for DDG-51-class ships; a Navy procurement specifically identifies an IBNS aft steering unit.,https://sam.gov/opp/e1e2cfe0cc62478a9016814b7a6357ad/view
GXPHJRVG9MR7,335311,"Power, Distribution, and Specialty Transformer Manufacturing",,LEONARDO SPA,DRS NAVAL POWER SYSTEMS INC,Domestic,104.767762,127,2013-07-11,2026-03-06,,,,,,,,,,,,,,,,,,,,"The Menomonee Falls DRS Naval Power Systems entity manufactures naval electrical power-distribution hardware, including transformers, switchboards/load centers, power-conditioning equipment, and related controls. Public sources confirm the facility and product family, but do not disclose the exact DDG-51 unit covered by this UEI’s subaward.","https://www.highergov.com/awardee/drs-naval-power-systems-inc-10114216/
https://www.leonardodrs.com/locations/naval-power-systems-menomonee-falls-wi/
https://www.leonardodrs.com/what-we-do/products-and-services/ship-power-and-propulsion/"
ZW3UMG9YVNA9,335313,Switchgear and Switchboard Apparatus Manufacturing,,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC.",L-3 COMMUNICATIONS WESTWOOD CORPORATION,Domestic,103.826874,83,2013-07-02,2025-10-31,,,,,,,,,,,,,,,,,,,,This UEI is the Tulsa maritime power business formerly known as L-3 Westwood. It supplies MIL-SPEC shipboard switchboards and load centers used to distribute electrical power on DDG-51-class ships.,"https://www.highergov.com/awardee/l3harris-maritime-power-energy-solutions-inc-10423117/
https://www.l3harris.com/all-capabilities/military-specification-switchboards-and-load-centers"
QGB4RDYJNJT9,332111,Iron and Steel Forging,,"ELLWOOD GROUP, INC.",ELLWOOD NATIONAL FORGE COMPANY,Domestic,87.920605,16,2018-11-16,2025-08-11,,,,,,,,,,,,,,,,,,,,"Ellwood National Forge’s Irvine, Pennsylvania operation produces large open-die steel forgings and forged shafting for naval and other heavy-duty applications. The specific DDG-51 forging covered by this subaward is not publicly identified, so no particular shaft, rotor, or coupling should be assigned.","https://www.sweetspot.so/markets/federal/contractors/ellwood-national-forge-company-qgb4rdyjnjt9/
https://www.ellwoodnationalforge.com/"
VJMTKNLENX24,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,,LEONARDO SPA,ENGINEERED COIL COMPANY,Domestic,72.570797,121,2013-07-24,2025-10-22,,,,,,,,,,,,,,,,,,,,"Engineered Coil Company is Leonardo DRS’s Marlo Coil operation in High Ridge, Missouri. It manufactures custom Navy and marine heat-transfer equipment—evaporator and condenser coils, air coolers, and other HVAC/refrigeration coils—for shipboard environmental-control systems; the public record does not identify the exact DDG-51 coil assembly.","https://www.highergov.com/awardee/engineered-coil-company-10113359/
https://www.leonardodrs.com/what-we-do/products-and-services/navy-and-marine-coils/
https://www.leonardodrs.com/locations/naval-power-systems-marlo-heat-transfer-solutions-high-ridge-mo/"
Z89SS59265U9,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,,ESPEY MFG. & ELECTRONICS CORP.,ESPEY MFG. & ELECTRONICS CORP.,Domestic,53.598911,75,2016-11-30,2026-02-27,,,,,,,,,,,,,,,,,,,,"Supplies DDG-51 electrical power electronics, transformers and power-distribution/protection equipment. Espey identifies DDG-51 products such as ship-service transformers, transformer step-start equipment, high-resistance grounding transformers, static-switch systems and AN/SPY-6-related cabinets/components, supported by its military power-systems and magnetics manufacturing capability.",https://www.espey.com/products/integrated-power-systems/; https://www.espey.com/products/military-power-systems-magnetics/; https://www.espey.com/
CFXRGJSB9UB6,335313,Switchgear and Switchboard Apparatus Manufacturing,,"L3 TECHNOLOGIES, INC.","SPD ELECTRICAL SYSTEMS, INC",Domestic,37.977344,17,2015-12-18,2021-03-30,,,,,,,,,,,,,,,,,,,,"SPD Electrical Systems in Camden, New Jersey manufactures shock-hardened naval circuit breakers, switchgear, and power-distribution equipment. Its DDG-51 role is electrical protection and distribution hardware, distinct from L3Harris’s Tulsa switchboard assembly and Anaheim transformer businesses.","https://www.highergov.com/awardee/l3harris-maritime-power-energy-solutions-inc-10107022/
https://www.l3harris.com/all-capabilities/air-circuit-breaker-4012
https://govtribe.com/vendors/spd-electrical-systems-inc-dot-30086"
SSD8KRDXKG46,238210,Electrical Contractors and Other Wiring Installation Contractors,,Pon Holdings B.V.,"HILLER COMPANIES, INC., THE",Domestic,36.673686,59,2013-05-13,2025-06-25,,,,,,,,,,,,,,,,,,,,"Provides marine fire-protection equipment and engineering. A Hiller-approved 1½-inch stop-check valve is specifically identified as a component of the Halon fire-extinguishing system on DDG-51 through DDG-58; Hiller also designs, installs, and services shipboard detection and suppression systems.","https://www.lqlite.com/NSN/4820-01-449-2993
https://hillerfire.com/applications/marine-fire-protection/"
WUDSRNBSYC17,336611,Ship Building and Repairing,,,"ERIE FORGE AND STEEL, INC.",Domestic,35.598423,9,2013-07-11,2019-12-17,,,,,,,,,,,,,,,,,,,,"Supplies large forged marine propulsion/stern shafting for Navy ships. Erie Forge & Steel describes forged steel marine propulsion shafts for U.S. Government/Navy customers, and public contract records identify a Navy DDG-51 stern-shaft item associated with Erie Forge and Steel.",https://www.erieforge.com/; https://www.whemco.com/who-we-are/erie-forge-steel/; https://www.federalcompass.com/award-contract-detail/N0010422CZA16
HLVNZXU8EAM1,335311,"Power, Distribution, and Specialty Transformer Manufacturing",,"L-3 Communications Holdings, Inc.",POWER PARAGON INC,Domestic,33.082526,47,2013-06-27,2021-06-04,,,,,,,,,,,,,,,,,,,,Supplies solid-state frequency/power-conversion equipment and related power-distribution magnetics. Its ACFC-288 converts 60-Hz ship-service power to 400 Hz for AEGIS equipment on DDG-51-class ships.,"https://www.marinelink.com/news/paragon-power-wins323122
https://www.parttarget.com/5950-01-497-9464_5950014979464_LW1931-5-P-N-24972GS.html
https://www.highergov.com/awardee/power-paragon-inc-10119793/
https://www.census.gov/naics/?details=33&input=33&year=2022"
JRUCKDSNXKD5,333998,All Other Miscellaneous General Purpose Machinery Manufacturing,,The Entwistle Trust,"ENTWISTLE COMPANY, THE",Domestic,32.295402,82,2013-07-19,2025-11-25,,,,,,,,,,,,,,,,,,,,Supplies retractable mooring bitts for DDG-51 construction. The Navy identified Entwistle as the original-equipment manufacturer and sole authorized manufacturer for these long-lead deck-machinery items.,https://govtribe.com/opportunity/federal-contract-opportunity/fy-13-17-uss-arleigh-burke-ddg-51-class-guided-missile-destroyers-construction-n0002412r2316
QKJUKKE5WPA8,336611,Ship Building and Repairing,,,GULF COPPER & MANUFACTURING CORPORATION,Domestic,31.589257,17,2024-11-05,2025-12-18,,,,,,,,,,,,,,,,,,,,"Fabricates outfitted structural units, hull modules and other DDG-51 structural components for distributed shipbuilding work supporting HII/Ingalls DDG-51 construction. Public sources describe Gulf Copper work building select outfitted structural units and Navy destroyer structural components in Texas facilities.",https://www.hii.com/news/at-sea-air-space-2026-hii-celebrates-manufacturing-job-creation-expansion-of-us-shipbuilding-industrial-base; https://www.beaumontbusinessjournal.com/local/gulf-copper-awarded-additional-work-production-us-navy-destroyers; https://dredgewire.com/galveston-shipyard-announces-deal-to-build-navy-destroyers/; https://www.thegalveston.org/article/gulf-copper-expands-defense-work-to-build-navy-destroyer-components-in-galveston-and-port-arthur; https://www.gulfcopper.com/
LM35HWEVUPH3,541613,Marketing Consulting Services,,"J.F. Lehman & Company, Inc.","ADI TECHNOLOGIES, INC.",Domestic,31.566712,28,2014-08-19,2025-11-25,,,,,,,,,,,,,,,,,,,,"ADI Technologies is a procurement/technical-services company rather than a ship-component manufacturer. Navy notices tied to this UEI show it furnishing a quick-acting watertight door for USS Preble (DDG-88), so its concrete role is sourcing that closure assembly rather than manufacturing the broader parent’s interior systems.","https://www.highergov.com/awardee/adi-technologies-inc-10020267/
https://sam.gov/opp/4acc8c0fc4e04147a67878ad561012a5/view
https://sam.gov/opp/a02f9303750f454490b37ca0791d39c9/view"
M4ELQDG7JLM5,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",,Ampco-Pittsburgh Corporation,"BUFFALO PUMPS, INC.",Domestic,31.03902,39,2013-06-27,2024-10-15,,,,,,,,,,,,,,,,,,,,Supplies centrifugal pumps and OEM parts/overhaul support for DDG-51 shipboard fluid systems. A Navy solicitation identifies Buffalo DH6080D-series centrifugal pumps for the Arleigh Burke class.,"https://sam.gov/opp/3e26ac5601c041bcb67336748451b382/view
https://www.businesswire.com/news/home/20220922005746/en/Fairbanks-Morse-Defense-Teams-with-Buffalo-Pumps-to-Expand-Pump-Service-Capabilities"
KCYPSYNH1M94,336611,Ship Building and Repairing,,"J.F. Lehman & Company, Inc.",US JOINER LLC,Domestic,30.823725,90,2013-06-05,2023-09-13,,,,,,,,,,,,,,,,,,,,"US Joiner fabricates and installs naval joiner systems such as non-structural bulkheads, doors, modular berths/furnishings, and fire-rated interior barriers. These are ship-interior and habitability construction products, distinct from Trident’s HVAC and IMECO’s machinery/electrical integration work.","https://www.highergov.com/awardee/us-joiner-llc-10418343/
https://www.sbir.gov/awards/120958
https://www.usjoiner.com/"
HLE1E2KALJA5,335311,"Power, Distribution, and Specialty Transformer Manufacturing",,"L3HARRIS TECHNOLOGIES, INC.","L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC",Domestic,30.82283,34,2022-02-07,2025-12-18,,,,,,,,,,,,,,,,,,,,"The Anaheim L3Harris Maritime Power & Energy Solutions entity manufactures naval power and distribution equipment, with its registered industry focused on specialty transformers. Public sources do not isolate the exact transformer or power package supplied to the DDG-51 program under this UEI.","https://www.highergov.com/awardee/l3harris-maritime-power-energy-solutions-inc-10112324/
https://www.l3harris.com/all-capabilities/maritime-power-and-energy-solutions"
XYNDM1Y7XGG7,332991,Ball and Roller Bearing Manufacturing,,"MARISCO, LTD.",AMERICAN METAL BEARING COMPANY,Domestic,30.316226,40,2013-07-05,2025-09-11,,,,,,,,,,,,,,,,,,,,"Supplies propulsion bearing systems for Arleigh Burke-class destroyers. AMB lists the class among vessels equipped with its systems; its naval product line includes line-shaft, stern-tube, strut, and thrust bearings.",https://www.ambco.net/bearing-propulsion-systems
N5KMLMXEPFM5,333310,Commercial and Service Industry Machinery Manufacturing,,PARKER-HANNIFIN CORPORATION,PARKER HANNIFIN CORPORATION,Domestic,30.128225,29,2013-06-27,2025-11-24,,,,,,,,,,,,,,,,,,,,"Through Parker Village Marine, supplies MIL-SPEC reverse-osmosis desalination and water-purification systems installed on Arleigh Burke-class destroyers. The systems produce potable water and high-purity permeate for shipboard use.",https://www.parker.com/content/dam/Parker-com/Literature/Water-Purification/Village-Marine/Defense/7845mil.bro09.lr.pdf
J645RTMFWMW1,339999,All Other Miscellaneous Manufacturing,,,"MAXIM EVAPORATORS OF AMERICA, LLC",Domestic,29.906676,22,2016-11-30,2025-04-30,,,,,,,,,,,,,,,,,,,,"Supplies heat-recovery evaporators/fresh-water generators that desalinate seawater into potable water. DDG-51 construction subawards cite the Maxim evaporator purchase specification, although public records do not expose the exact commercial model.","https://www.highergov.com/subcontract/N0002423C2307-1295394-1/
https://www.highergov.com/subcontract/N0002418C2307-17990-0/
https://www.fairbanksmorsedefense.com/solutions/water-treatment-systems/heat-recovery-evaporators/"
YELYMYLF82L9,336611,Ship Building and Repairing,,"LAKE SHORE SYSTEMS, INC.","LAKE SHORE SYSTEMS, INC.",Domestic,29.326373,75,2022-03-11,2025-04-30,,,,,,,,,,,,,,,,,,,,"Supplies the DDG-51 class slewing-arm boat-davit system and associated replacement/overhaul kits. A Navy award for USS Stockdale (DDG-106) identifies Lake Shore as the OEM for the installed slewing-arm davit, part number 56W4-S100.",https://www.highergov.com/contract-opportunity/uss-stockdale-ddg-1-n5523621r0014-award-n5523621c0011-lake-shore-systems-inc-c7ee1/
WSK3WRSGKAU1,332410,Power Boiler and Heat Exchanger Manufacturing,,Alfa Laval AB,ALFA LAVAL INC.,Domestic,27.393928,25,2013-06-21,2025-02-27,,,,,,,,,,,,,,,,,,,,Supplies self-cleaning disk-stack centrifugal fuel purifiers used to remove water and solids from DDG-51 fuel-transfer streams. The DDG subaward is recorded under fuel-system purchase specification 541-10B.,"https://www.highergov.com/subcontract/N0002423C2307-14838-0/
https://www.parttarget.com/4930-01-118-1264_4930011181264_38467.html
https://www.scribd.com/document/340313779/S9086-SN-STM-010-Ch-541-Ship-Fuel-and-Fuel-Systems-Rev-9"
FCK2D4PSV1L2,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",,DOVER PUMPS & PROCESS SOLUTIONS SEGMENT INC,DOVER PUMPS & PROCESS SOLUTIONS SEGMENT INC,Domestic,26.290195,71,2013-07-24,2026-02-25,,,,,,,,,,,,,,,,,,,,Supplies Blackmer rotary/hand pumps and related pump hardware for DDG-51. Public Navy item data also identifies a Blackmer relief-valve kit for the class’s aqueous-film-forming-foam firefighting pump.,"https://govtribe.com/vendors/dover-energy-inc-dot-blackmer-pump-07524
https://www.lqlite.com/NSN/4820-01-508-7401"
JW6PXX1WALN4,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,,COLFAX CORPORATION,HOWDEN NORTH AMERICA INC,Domestic,25.425883,45,2014-05-28,2025-03-19,,,,,,,,,,,,,,,,,,,,"Through its HAF Navy Market/Howden American Fan business, supplied DDG-51 cooling and ventilation fans, including gas-turbine-room blowers, collective-protection-system fans, and vane-axial/centrifugal fans. Fairbanks Morse Defense acquired American Fan in 2023 and now supplies the same product line on Flight III destroyers.","https://www.highergov.com/awardee/howden-north-america-inc-10110890/
https://www.fairbanksmorsedefense.com/blog/fairbanks-morse-defense-expands-product-portfolio-with-american-fan-acquisition/
https://www.fairbanksmorsedefense.com/blog/fairbanks-morse-defenses-american-fan-awarded-contracts-for-u-s-navy-ddg-cooling-and-ventilation-equipment/"
F42BKS7EHCL8,334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",,ULTRA ELECTRONICS HOLDINGS PLC,EMS DEVELOPMENT CORPORATION,Domestic,24.624706,27,2013-07-31,2025-05-30,,,,,,,,,,,,,,,,,,,,"The DDG-128/129 construction subaward is labeled “TMR rebuy ES012 10451,” but the public record does not expand TMR or identify the exact equipment. EMS manufactures naval power-conversion/degaussing electronics, transformers, and power supplies; a specific product-to-subaward match could not be confirmed.","https://www.highergov.com/subcontract/N0002418C2307-11155-0/
https://govtribe.com/vendors/ems-development-corporation-51435"
FGNQE3RF1FK5,332911,Industrial Valve Manufacturing,,"MORPAC INDUSTRIES, INC.","MORPAC INDUSTRIES, INC.",Domestic,22.967613,32,2013-06-28,2025-07-16,,,,,,,,,,,,,,,,,,,,Supplies shipboard butterfly/gate valve assemblies and replacement parts for DDG-51 piping systems. Public NSN data identifies Morpac butterfly valves with the Arleigh Burke class as an end item.,"https://www.parttarget.com/Morpac-Industries-Inc_nsn-parts_10003_10008-5.html
https://www.highergov.com/subcontract/N0002423C2307-2608-0/"
V1MQFNQB56Z5,333912,Air and Gas Compressor Manufacturing,,RIX INDUSTRIES,RIX INDUSTRIES,Domestic,22.537145,30,2013-06-28,2026-03-03,,,,,,,,,,,,,,,,,,,,"Supplies STAR-200 high-pressure air compressors for DDG-51 Flight III ships, supporting shipboard compressed-air requirements.",https://www.rixindustries.com/rix-awarded-ddg-51-flight-iii-compressor-contract-successor-new-large-surface-combatant-program
MC77SUMRLXY5,332911,Industrial Valve Manufacturing,,"MILWAUKEE VALVE COMPANY, INC.","MILWAUKEE VALVE COMPANY, INC.",Domestic,22.480678,152,2013-06-28,2025-07-25,,,,,,,,,,,,,,,,,,,,"Supplies Navy-qualified gate, globe, check/swing-check, and ball valves for DDG-51 fluid piping. Public item records identify Milwaukee swing-check valves specifically used on the class.","https://www.milwaukeevalve.com/product-category/marine-valves/
https://www.lqlite.com/NSN/4820-01-479-9583
https://www.parttarget.com/4820-01-479-8507_4820014798507_1305-034-4IN.html"
QNF5KM7YJSN7,336611,Ship Building and Repairing,,,"SOUTHCOAST WELDING & MANUFACTURING, LLC.",Domestic,20.200193,77,2015-08-12,2026-01-21,,,,,,,,,,,,,,,,,,,,"Performs welding/fabrication, ship-repair, and warranty work on DDG-51-class ships. Public records tie Southcoast to DDG construction warranty support and to repair work on USS Fitzgerald (DDG-62), but do not disclose a specific construction component in the listed subaward.","https://app.govly.com/public/awards/CONT_AWD_N0002413C2307_9700_-NONE-_-NONE--9525847d93f56c151e57441d5b733f7a
https://govtribe.com/award/federal-contract-award/delivery-order-n0002422d4472-n5523625f5002"
LR2HQKYJLDZ7,423830,Industrial Machinery and Equipment Merchant Wholesalers,,ESI ACQUISITION CORP.,ESI ACQUISITION CORP.,Domestic,20.179038,91,2013-04-08,2025-11-21,,,,,,,,,,,,,,,,,,,,"Supplies/distributes and repairs naval valve and actuator hardware under the J.A. Moody name. Public item data links an ESI valve assembly to the Arleigh Burke class, but the exact valve or actuator covered by this DDG construction subaward is not publicly identified.","https://jamoody.com/proud-to-be-iso-9001-certified-since-2014/
https://www.parttarget.com/4820-01-311-4989_4820013114989_478-819-060-414-MAA.html
https://www.govchime.com/market-intelligence/awards/CONT_AWD_N0010424PLB80_9700_-NONE-_-NONE-/"
JEP5GQGFPUL9,332911,Industrial Valve Manufacturing,,"Circor International, Inc.",PORTLAND VALVE LLC,Domestic,19.513358,44,2013-07-26,2025-10-16,,,,,,,,,,,,,,,,,,,,"Portland Valve manufactures Navy ship-service ball valves and other specialty valves used on destroyers, submarines, and carriers. For DDG-51 construction, this entity’s distinct contribution is valve hardware for shipboard fluid systems, although the exact valve list is not public.","https://www.highergov.com/awardee/portland-valve-llc-10110208/
https://www.circor.com/news/circor-brand-portland-valve-announces-50-year-anniversary
https://www.circor.com/brands/portland-valve"
