Subawardee UEI,Hull,Subawardee Vendor Name,Builder,Predominant SWBS,Assigned $M,Records,First Subaward,Last Subaward,Confidence
ZMBFGXHLGLM3,DDG 113,BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,HII-Ingalls,U00 No SWBS Evidence,,,,,A
DQ35GXAUTW61,DDG 113,"INDUSTRIAL CORROSION CONTROL, INC.",HII-Ingalls,600 Outfit & Furnishings,,,,,A
LCZDJ6YPNYG6,DDG 113,MARTIN ENERGY SERVICES LLC,HII-Ingalls,U00 No SWBS Evidence,,,,,A
QNF5KM7YJSN7,DDG 113,"SOUTHCOAST WELDING & MANUFACTURING, LLC",HII-Ingalls,U00 No SWBS Evidence,,,,,A
J3AFGKXWYK73,DDG 113,YORK INTERNATIONAL CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,A
SKKACASET588,DDG 113,DYNALEC CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,A
JNC1BUEVV3B9,DDG 113,"JGILS, LLC",HII-Ingalls,U00 No SWBS Evidence,,,,,A
HLVBPCA2LH41,DDG 113,ROLLS-ROYCE MARINE NORTH AMERICA INC.,HII-Ingalls,U00 No SWBS Evidence,,,,,A
J8ATNVMEGLK1,DDG 113,"CHAND, L.L.C.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
KNEFNMWXBK39,DDG 113,JO-KELL INC.,HII-Ingalls,U00 No SWBS Evidence,,,,,A
ZA1KMNAJMVT3,DDG 113,SURFACE TECHNOLOGIES CORPORATION,HII-Ingalls,600 Outfit & Furnishings,,,,,A
KCYPSYNH1M94,DDG 113,US JOINER LLC,HII-Ingalls,U00 No SWBS Evidence,,,,,A
SSD8KRDXKG46,DDG 113,"HILLER COMPANIES, INC., THE",HII-Ingalls,500 Auxiliary Systems,,,,,A
ZW3UMG9YVNA9,DDG 113,L-3 COMMUNICATIONS WESTWOOD CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,A
HNJDANSKDZK9,DDG 113,"SPECTRONICS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
JA2KCX21NL48,DDG 113,"WARTSILA DEFENSE, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
JN16VPC2PXN4,DDG 113,"BAY CITY MARINE, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
VJMTKNLENX24,DDG 113,ENGINEERED COIL COMPANY,HII-Ingalls,500 Auxiliary Systems,,,,,A
Q35JL9GFCAK3,DDG 113,"MAROTTA CONTROLS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
C6C8KS7Y1K76,DDG 113,MIDE TECHNOLOGY CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,A
JR3NDKLB4BH9,DDG 113,PACIFIC MARINE SYSTEMS CORP,HII-Ingalls,U00 No SWBS Evidence,,,,,A
D44RA79E3K57,DDG 113,"PRECISION PRODUCTS, INC.",HII-Ingalls,U00 No SWBS Evidence,,,,,A
G15JF2TNVBL6,DDG 113,SIGNET MARITIME CORPORATION,HII-Ingalls,U00 No SWBS Evidence,,,,,A
W2H3SYSJNLK5,DDG 113,Arastaff,HII-Ingalls,U00 No SWBS Evidence,,,,,A
RYRLL49HWN65,DDG 113,BAKER SHEET METAL CORPORATION,HII-Ingalls,600 Outfit & Furnishings,,,,,A
CXZ9PUEZ5SQ7,DDG 113,BLACK & DECKER (U.S.) INC.,HII-Ingalls,U00 No SWBS Evidence,,,,,A
HLFDNJU7KXJ1,DDG 113,BOGUE SYSTEMS INC.,HII-Ingalls,U00 No SWBS Evidence,,,,,A
